n=2000000 primes=148933
         3846 function calls (3766 primitive calls) in 0.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 argparse.py:1652(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        4    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        4    0.000    0.000    0.000    0.000 :0(match)
        3    0.000    0.000    0.001    0.000 gettext.py:581(dgettext)
        1    0.000    0.000    0.000    0.000 argparse.py:1986(consume_optional)
       10    0.000    0.000    0.000    0.000 :0(locals)
        7    0.000    0.000    0.000    0.000 :0(split)
        2    0.000    0.000    0.000    0.000 argparse.py:1485(_add_action)
       20    0.000    0.000    0.000    0.000 :0(get_ident)
        5    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 argparse.py:1965(take_action)
       10    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        2    0.000    0.000    0.000    0.000 argparse.py:606(_format_args)
       18    0.000    0.000    0.000    0.000 :0(from_bytes)
        8    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       10    0.000    0.000    0.000    0.000 :0(is_builtin)
       12    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        1    0.000    0.000    0.000    0.000 :0(print)
        1    0.000    0.000    0.000    0.000 :0(isqrt)
        1    0.000    0.000    0.000    0.000 argparse.py:2470(_get_values)
        2    0.000    0.000    0.000    0.000 :0(get_terminal_size)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1475(add_argument_group)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        8    0.000    0.000    0.000    0.000 enum.py:1096(__new__)
       14    0.000    0.000    0.000    0.000 :0(pop)
       13    0.000    0.000    0.000    0.000 :0(rfind)
       15    0.000    0.000    0.000    0.000 :0(isalnum)
        8    0.000    0.000    0.000    0.000 :0(find_frozen)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.005    0.002 argparse.py:2592(_get_formatter)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       11    0.000    0.000    0.000    0.000 :0(replace)
        1    0.000    0.000    0.000    0.000 argparse.py:166(HelpFormatter)
        2    0.000    0.000    0.000    0.000 argparse.py:1674(_add_action)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 argparse.py:1873(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1720(ArgumentParser)
        4    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       12    0.000    0.000    0.000    0.000 :0(lower)
        5    0.000    0.000    0.000    0.000 argparse.py:1399(_registry_get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.000    0.000    0.000    0.000 argparse.py:2067(consume_positionals)
        1    0.000    0.000    0.000    0.000 argparse.py:2196(_match_argument)
        2    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        3    0.000    0.000    0.001    0.000 gettext.py:619(gettext)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       12    0.000    0.000    0.000    0.000 :0(isascii)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       10    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
        3    0.000    0.000    0.000    0.000 argparse.py:1603(_get_handler)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        4    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        7    0.000    0.000    0.000    0.000 :0(setattr)
        1    0.000    0.000    0.000    0.000 argparse.py:1340(_ActionsContainer)
        2    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        7    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        7    0.000    0.000    0.000    0.000 :0(encode)
        4    0.000    0.000    0.000    0.000 :0(compile)
        2    0.000    0.000    0.000    0.000 argparse.py:846(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
        2    0.000    0.000    0.000    0.000 argparse.py:1853(_add_action)
        6    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        5    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
        2    0.000    0.000    0.000    0.000 enum.py:192(__get__)
        2    0.000    0.000    0.000    0.000 argparse.py:599(format)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 argparse.py:2526(_get_value)
        6    0.000    0.000    0.000    0.000 :0(extend)
        1    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        6    0.000    0.000    0.000    0.000 :0(reverse)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 argparse.py:1111(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        4    0.000    0.000    0.000    0.000 _parser.py:160(__delitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:987(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:931(__init__)
        5    0.000    0.000    0.000    0.000 :0(add)
        1    0.000    0.000    0.000    0.000 argparse.py:1154(_SubParsersAction)
        2    0.000    0.000    0.000    0.000 :0(fileno)
        2    0.000    0.000    0.000    0.000 argparse.py:1612(_check_conflict)
        5    0.000    0.000    0.000    0.000 :0(callable)
        3    0.000    0.000    0.000    0.000 :0(index)
        4    0.000    0.000    0.000    0.000 :0(intern)
        1    0.000    0.000    0.000    0.000 argparse.py:2337(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 argparse.py:2234(_parse_optional)
        2    0.000    0.000    0.000    0.000 argparse.py:590(_metavar_formatter)
        4    0.000    0.000    0.000    0.000 :0(__contains__)
        1    0.000    0.000    0.000    0.000 argparse.py:1865(_get_positional_actions)
        3    0.000    0.000    0.000    0.000 :0(decode)
        4    0.000    0.000    0.000    0.000 :0(items)
        4    0.000    0.000    0.000    0.000 :0(ord)
        4    0.000    0.000    0.000    0.000 :0(isidentifier)
        1    0.000    0.000    0.000    0.000 __init__.py:163(match)
        1    0.000    0.000    0.000    0.000 argparse.py:2218(_match_arguments_partial)
        2    0.000    0.000    0.000    0.000 argparse.py:218(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 argparse.py:890(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 argparse.py:1650(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:118(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        2    0.000    0.000    0.000    0.000 :0(lstrip)
        2    0.000    0.000    0.000    0.000 enum.py:1248(value)
        1    0.000    0.000    0.000    0.000 argparse.py:795(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:960(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:1109(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1692(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1320(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:929(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1265(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1128(_VersionAction)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:797(is_package)
        1    0.000    0.000    0.000    0.000 argparse.py:1866(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:964(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:216(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:1021(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:2096(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:732(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:681(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1059(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:692(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:766(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:1156(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1004(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:61(Error)
        1    0.000    0.000    0.000    0.000 argparse.py:703(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1327(__init__)
        1    0.000    0.000    0.000    0.000 :0(group)
        1    0.000    0.000    0.000    0.000 argparse.py:1254(_ExtendAction)
        1    0.000    0.000    0.000    0.000 :0(remove)
        1    0.000    0.000    0.000    0.000 argparse.py:2552(_check_value)
        1    0.000    0.000    0.000    0.000 argparse.py:786(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 shutil.py:64(SameFileError)
        1    0.000    0.000    0.000    0.000 argparse.py:628(<listcomp>)
        1    0.000    0.000    0.000    0.000 shutil.py:67(SpecialFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:81(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 shutil.py:74(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:71(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:77(RegistryError)
        1    0.000    0.000    0.000    0.000 :0(iter)
        1    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 :0(update)
        0    0.000             0.000          profile:0(profiler)


